USER_ID,USERNAME,EMAIL,PASSWORD,IS_PLAYING
1,ihedden0,jposthill0@apple.com,Z4ANou,True
2,ocarlyon1,tyouel1@weibo.com,VPaP6zqzEUm,False
3,sbassilashvili2,rminchella2@chron.com,MPHZ5Rk,True
4,rsiddaley3,akinze3@drupal.org,gfXXC0p5kHw,True
5,tjannex4,rrogge4@vk.com,tOFVq5CLeeWd,False
6,ghugonin5,jgrishunin5@npr.org,MbT02Jty5vix,False
7,grisborough6,ccawcutt6@prweb.com,T1nm1Lo9xuQz,True
8,treddlesden7,oeasen7@drupal.org,fzj76JSYiCyV,True
9,enortcliffe8,jdey8@github.io,SNSchM,True
10,mgyles9,odomb9@hubpages.com,9pxpmOcUYQ65,True
11,rwidgera,hlaugharnea@bloglovin.com,jeR58kcrl,False
12,ngoatmanb,ntregianb@so-net.ne.jp,HjLU12zQO,False
13,gclemencec,gmctrustriec@ucsd.edu,pbOS7dGAyk90,False
14,csymmsd,dgiacomazzod@samsung.com,dmjICvdoYM,False
15,epuviae,hharvisone@de.vu,S0gATut,False
16,kpallentf,gfayersf@indiatimes.com,7bfjF9Je0pY,True
17,wmcclareng,ljorckg@techcrunch.com,DRkkTL2c4o,True
18,cboarleysonh,etallh@goo.gl,wQAqwn,True
19,amynardi,eazami@mapquest.com,gCdzUwek3,False
20,santoniasj,dcriellyj@networksolutions.com,gE64xakb3RtR,True
21,sbrookesk,egerdesk@imageshack.us,sGagtE,False
22,scarnoghanl,tlenniel@bloglines.com,r0VZKgzF,False
23,ebazellem,aolenanem@xinhuanet.com,0Gsmfkt8Ob04,False
24,aohenecann,rluchellin@joomla.org,6cdWg3QXnd,True
25,aleveretteo,atethero@youtu.be,6plDTb882k,True
26,mwharbyp,wblaydesp@xing.com,DhBgRuRpa,False
27,bphorsbyq,kbasketterq@harvard.edu,kh2FVJHw,True
28,jscroggier,ltabernerr@microsoft.com,hVP3rXcXdU,False
29,escares,kdrakes@cdc.gov,m4OXy4y0m,False
30,mlobliet,moffillt@hugedomains.com,NN8EhaHZNCJ,False
31,yendricciu,panthonyu@tripadvisor.com,BEDCeACy5,False
32,emacvaughv,kcarryerv@acquirethisname.com,79w4FDXT9,False
33,bedmondsw,cambrogiw@census.gov,YOcn5i8Elvdu,False
34,mknokx,iewbanckx@sourceforge.net,GtSGkkKeG,True
35,cmaccooky,dcochety@independent.co.uk,crjsIGzi,True
36,mrougez,jsollamz@psu.edu,UGawG3rFDPA,True
37,arodden10,gcheales10@examiner.com,7GISGx4,False
38,onegus11,frist11@aboutads.info,TA6XyI,False
39,tbastistini12,estallibrass12@altervista.org,7dW9Qrk,True
40,lmachon13,emoen13@reuters.com,45w50xjhe8Pn,False
41,scapp14,daxelbee14@tumblr.com,97yrwTdA6,False
42,rhadwin15,rrowett15@upenn.edu,w856ZQ,False
43,bviegas16,cdensie16@cafepress.com,fpXlCjC,False
44,hgorrick17,ddabner17@desdev.cn,PdPaY81lS,True
45,gantunes18,aakram18@php.net,2QSO2aiSe9,False
46,ebulgen19,ddupree19@ocn.ne.jp,rDIC4jNogE,True
47,abremen1a,proutham1a@123-reg.co.uk,262B87VCyI,False
48,frowney1b,tcantero1b@rambler.ru,YuJQd0Sm,False
49,kdoble1c,hedleston1c@geocities.jp,PpiZE4NX,True
50,bbearcroft1d,lscutcheon1d@blinklist.com,7Q4eGXEES,False
51,grigbye1e,ogoforth1e@huffingtonpost.com,jkIhsEDE8ub,False
52,aprate1f,ekarleman1f@twitpic.com,2Kalj7U,False
53,kwant1g,kskaifedingerthorpe1g@drupal.org,wxIzJkM4,True
54,kkrug1h,azanini1h@themeforest.net,ZLYXKcPrqHq,True
55,kmaclaine1i,rbumford1i@istockphoto.com,FUCeL3lqw3,False
56,bhayth1j,fspeedin1j@altervista.org,7dWLdu75HyM,False
57,rpateman1k,pegle1k@weebly.com,WcJcJb2B,True
58,auphill1l,vburne1l@scribd.com,2QBBrF,True
59,dgowman1m,maffron1m@marketwatch.com,C9NbQaEwrf,False
60,ashimmans1n,rreddings1n@sciencedaily.com,MqDQpy,False
61,wmcilraith1o,cbarkes1o@phpbb.com,zoUnroHAAON,True
62,llambricht1p,fecclesall1p@youku.com,QrxwfBa1ES,False
63,iskittrall1q,bwellen1q@technorati.com,PAoICP3,False
64,jladdle1r,cuccello1r@t-online.de,ryxwJAXC,False
65,afield1s,sbrandoni1s@java.com,efbbSXT,True
66,wlomis1t,mglashby1t@yahoo.com,X3jkx2ORzZ,False
67,mhazeldene1u,ifolder1u@vimeo.com,MrDpdKQ74LD7,True
68,hlulham1v,rrendbaek1v@chicagotribune.com,lN4e9naZ5GQ,True
69,balejandro1w,fodowling1w@symantec.com,ODnnTP256CTo,True
70,lhealing1x,ktaggert1x@buzzfeed.com,a2kOteHXy7UE,False
71,blobe1y,amorfield1y@google.com.hk,rsP1yqIzY4,True
72,bdonner1z,mhartropp1z@yelp.com,F50GaYkf2t2,False
73,dfoxhall20,mstanlack20@toplist.cz,eddeywXUq,True
74,gwilcott21,rsalvadore21@1und1.de,NwioMVutNox,False
75,dthiolier22,cmartyns22@mail.ru,S93C0eV,False
76,kagglione23,rcapun23@reverbnation.com,rt0t9mZd4,True
77,labbatt24,tharvard24@flickr.com,NANynYaIta,True
78,eoshaughnessy25,ddavoren25@sphinn.com,QwpjsUxWidhT,True
79,jmizzen26,psyrett26@spotify.com,ZWPhcaT,True
80,cweich27,jlipman27@hp.com,WqKzBK,False
81,troloff28,jrego28@archive.org,1Aew3Nt,True
82,pboyen29,lcrumbleholme29@feedburner.com,NpoHKXS89XV,True
83,cogg2a,jnand2a@dmoz.org,sjYD52,True
84,pwem2b,tneal2b@csmonitor.com,m29chDqOKh,False
85,medgeworth2c,jjude2c@apache.org,hgYBykF,False
86,djardine2d,hyven2d@intel.com,WETz7E,True
87,frichard2e,speddowe2e@scribd.com,nWzx6mNy1IYB,False
88,cgaffney2f,mphette2f@taobao.com,FFvzVXr8E,False
89,kablett2g,cfarragher2g@pinterest.com,yrBHsnKq,False
90,mgregoratti2h,ggulleford2h@wikipedia.org,LAkEVxqv75Xd,True
91,bfido2i,tleeuwerink2i@examiner.com,wg77lz10W,True
92,nbasey2j,mpallasch2j@gov.uk,DI8IKeex1,False
93,pguillet2k,gnorrie2k@theglobeandmail.com,oOy6BaNI,False
94,lcholdcroft2l,znelson2l@google.ca,iC2mGcujcl,True
95,swadeling2m,uledington2m@pcworld.com,jwKkiPS6lJJ,False
96,gwinny2n,rblaver2n@bandcamp.com,lNHY7330,True
97,dmcvitty2o,jdinning2o@creativecommons.org,E2qGshZU,True
98,tdanilevich2p,kwilleson2p@un.org,H0FRjiHAV,True
99,hfulle2q,ztrewinnard2q@simplemachines.org,J538RSP,False
100,kphizackerly2r,mromaynes2r@macromedia.com,YJVoIscZ,False
